Ticker,Year,Total Revenue,Net Income,Interest Income,Interest Expense,Net Interest Income,Operating Expense,Diluted EPS,Total Assets,Total Debt,Stockholders Equity,Net Loan,Cash And Cash Equivalents,ROE,ROA,NIM,Equity_to_Assets,Loan_to_Assets,Cost_to_Income_pct,EPS_Growth_%,Cost_Basis
AXISBANK.NS,2023,624158400000.0,108184500000.0,874483700000.0,433891500000.0,440592200000.0,405520500000.0,35.04,13444179600000.0,1984445700000.0,1297817100000.0,8499646800000.0,1392721300000.0,8.34,0.8,3.28,9.65,63.22,64.97,,Operating Expense (reported)
AXISBANK.NS,2024,766030400000.0,263862000000.0,1127590500000.0,613907400000.0,513683100000.0,376837500000.0,85.01,15182385300000.0,2281995500000.0,1570235200000.0,9828952800000.0,1380502800000.0,16.8,1.74,3.38,10.34,64.74,49.19,142.61,Operating Expense (reported)
AXISBANK.NS,2025,846683300000.0,280551100000.0,1273740900000.0,710363100000.0,563377800000.0,398617100000.0,90.18,16569626100000.0,2206867500000.0,1872354900000.0,10644112300000.0,1171491700000.0,14.98,1.69,3.4,11.3,64.24,47.08,6.08,Operating Expense (reported)
AXISBANK.NS,2026,880673100000.0,263848500000.0,1325382400000.0,740749900000.0,584632500000.0,442841700000.0,84.48,19460502900000.0,2805106200000.0,2150353500000.0,12556162200000.0,1180410900000.0,12.27,1.36,3.0,11.05,64.52,50.28,-6.32,Operating Expense (reported)
HDFCBANK.NS,2023,1205375000000.0,495446900000.0,1689526700000.0,775538200000.0,913988500000.0,400219800000.0,88.68,25755624000000.0,3151792800000.0,2912200700000.0,17052927900000.0,2363920200000.0,17.01,1.92,3.55,11.31,66.21,33.2,,Selling General & Administration (proxy)
HDFCBANK.NS,2024,1604968500000.0,622656600000.0,2781926200000.0,1533922800000.0,1248003400000.0,569796800000.0,44.16,44118573000000.0,8093552100000.0,6947327400000.0,26335700900000.0,3425973300000.0,8.96,1.41,2.83,15.75,59.69,35.5,-50.2,Selling General & Administration (proxy)
HDFCBANK.NS,2025,1838641100000.0,673508300000.0,3227962600000.0,1823477000000.0,1404485600000.0,592009400000.0,44.82,48187671100000.0,7326106100000.0,7676891400000.0,28102981800000.0,3222323100000.0,8.77,1.4,2.91,15.93,58.32,32.2,1.49,Selling General & Administration (proxy)
HDFCBANK.NS,2026,1925667800000.0,704793400000.0,3360265000000.0,1860495500000.0,1499769500000.0,628690500000.0,45.75,52621193200000.0,6643640400000.0,8167395600000.0,30993886500000.0,3650673900000.0,8.63,1.34,2.85,15.52,58.9,32.65,2.07,Selling General & Administration (proxy)
ICICIBANK.NS,2023,1355811552000.0,340366408000.0,1210668098000.0,505433879000.0,705234219000.0,301948279000.0,47.84,19584904970000.0,1835094403000.0,2144977893000.0,10341105480000.0,1635673702000.0,15.87,1.74,3.6,10.95,52.8,22.27,,Selling General & Administration (proxy)
ICICIBANK.NS,2024,1612101952000.0,442563735000.0,1595159252000.0,741081627000.0,854077625000.0,370325892000.0,61.96,23640630275000.0,2009987053000.0,2561438346000.0,12106972715000.0,1901295868000.0,17.28,1.87,3.61,10.83,51.21,22.97,29.52,Selling General & Administration (proxy)
